,jd,mag,mag_unc,filter,limmag,programid
0,44244.10021990741,28.826010216316032,0.1,ultrasat,inf,0.0
1,44245.10021990741,29.474463507112784,0.1,ultrasat,inf,0.0
2,44246.10021990741,34.19574982029048,0.1,ultrasat,inf,0.0
3,44247.10021990741,41.62225768591389,0.1,ultrasat,inf,0.0
4,44248.10021990741,48.41712797981842,0.1,ultrasat,inf,0.0
5,44249.10021990741,55.07610218970342,0.1,ultrasat,inf,0.0
6,44250.10021990741,61.699681748308414,0.1,ultrasat,inf,0.0
7,44251.10021990741,67.89696498112724,0.1,ultrasat,inf,0.0
8,44252.10021990741,73.91792952275446,0.1,ultrasat,inf,0.0
9,44253.10021990741,80.05053712996843,0.1,ultrasat,inf,0.0
10,44254.10021990741,85.88346584291912,0.1,ultrasat,inf,0.0
