,jd,mag,mag_unc,filter,limmag,programid
0,44244.371689993815,27.40971468872416,0.1,ultrasat,inf,0.0
1,44245.371689993815,23.085410378990982,0.1,ultrasat,inf,0.0
2,44246.371689993815,26.24866714894768,0.1,ultrasat,inf,0.0
3,44247.371689993815,27.43554676884908,0.1,ultrasat,inf,0.0
4,44248.371689993815,27.847029868582535,0.1,ultrasat,inf,0.0
5,44249.371689993815,28.77575843236956,0.1,ultrasat,inf,0.0
6,44250.371689993815,29.934709562379222,0.1,ultrasat,inf,0.0
7,44251.371689993815,30.73387514363692,0.1,ultrasat,inf,0.0
8,44252.371689993815,31.42623418541703,0.1,ultrasat,inf,0.0
9,44253.371689993815,32.33310705132964,0.1,ultrasat,inf,0.0
10,44254.371689993815,32.936034284350775,0.1,ultrasat,inf,0.0
