

    0.488281249999985201E-03    0.627763746132423535E+02    0.194427907466888428E+03    0.639275836944580078E+02    0.108164752225939975E+01    0.791616678237915039E+00   -0.295470798015594482E+01   -0.722966372966766357E+00
    0.488281249999985201E-03    0.627763746132423535E+02    0.695178151130676270E+02    0.486474215984344482E+02    0.103702468560891115E+01   -0.114728552103042603E+01   -0.211539864540100098E+01   -0.238248589634895325E+01
    0.488281249999985201E-03    0.627763746132423535E+02    0.191921091079711914E+03    0.368597638607025146E+02    0.115864956583024714E+01    0.212470531463623047E+00   -0.141303050518035889E+01   -0.117037761211395264E+01
    0.488281249999985201E-03    0.627763746132423535E+02    0.162078297138214111E+03    0.663752782344818115E+02    0.717470379568344474E+00    0.490760803222656250E-01   -0.277664029598236084E+01   -0.218267488479614258E+01
    0.488281249999985201E-03    0.627763746132423535E+02    0.130998873710632324E+03    0.338669300079345703E+02    0.436398102722985182E+00   -0.722266435623168945E-01   -0.229720187187194824E+01   -0.186276274919509888E+01
    0.488281249999985201E-03    0.627763746132423535E+02    0.192754316329956055E+03    0.434654188156127930E+02    0.459721237063030919E+00    0.259562969207763672E+00   -0.273338210582733154E+01   -0.515297234058380127E+00
    0.488281249999985201E-03    0.627763746132423535E+02    0.199477398395538330E+03    0.273188531398773193E+02    0.818274133257060443E+00   -0.160188114643096924E+01   -0.239919424057006836E+01   -0.597313970327377319E+00
    0.488281249999985201E-03    0.627763746132423535E+02    0.184627282619476318E+03    0.348791384696960449E+02    0.903995390920778519E+00   -0.114203929901123047E+00   -0.239202308654785156E+01   -0.151823404431343079E+01
    0.488281249999985201E-03    0.627763746132423535E+02    0.419143080711364746E+02    0.239286088943481445E+02    0.362346115004362479E+00   -0.420066237449645996E+00   -0.184882175922393799E+01   -0.262040796875953674E+01
    0.488281249999985201E-03    0.627763746132423535E+02    0.886074781417846680E+02    0.296840572357177734E+02    0.112863980976380551E+01   -0.876918315887451172E+00   -0.251272749900817871E+01   -0.142830181121826172E+01
